#BinMin	BinMax	BinMean	MF	Error
1.6540300000e+12	2.5063087843e+12	2.0360525333e+12	1.1767667130e-15	1.2189721052e-18
2.5063087843e+12	3.7977447340e+12	3.0851776266e+12	4.7381194546e-16	4.6244952513e-19
3.7977447340e+12	5.7546241528e+12	4.6748896856e+12	2.3008029444e-16	2.5370459310e-19
5.7546241528e+12	8.7198328113e+12	7.0837391612e+12	1.0241219113e-16	1.3318174538e-19
8.7198328113e+12	1.3212936629e+13	1.0733806331e+13	4.5847986658e-17	5.9722117487e-20
1.3212936629e+13	2.0021220377e+13	1.6264658499e+13	2.0805630050e-17	3.0802187236e-20
2.0021220377e+13	3.0337636261e+13	2.4645415422e+13	9.0815820182e-18	1.7501142755e-20
3.0337636261e+13	4.5969833834e+13	3.7344559146e+13	3.9960713580e-18	8.3056947717e-21
4.5969833834e+13	6.9656897609e+13	5.6587242453e+13	1.7161478668e-18	4.1237308985e-21
6.9656897609e+13	1.0554929135e+14	8.5745181672e+13	7.1379677780e-19	2.1777180709e-21
1.0554929135e+14	1.5993610520e+14	1.2992745116e+14	2.8722495205e-19	1.0694486838e-21
1.5993610520e+14	2.4234703445e+14	1.9687569885e+14	1.1063763123e-19	4.8520560268e-22
2.4234703445e+14	3.6722217934e+14	2.9832064318e+14	3.9721675633e-20	2.2581047234e-22
3.6722217934e+14	5.5644224947e+14	4.5203753774e+14	1.3148710907e-20	1.0559269500e-22
5.5644224947e+14	8.4316251689e+14	6.8496076352e+14	3.8207972176e-21	4.1754916986e-23
8.4316251689e+14	1.2776223059e+15	1.0379032899e+15	9.6786862821e-22	1.5909708720e-23
1.2776223059e+15	1.9359479625e+15	1.5727079513e+15	1.9879978653e-22	5.7999387555e-24
1.9359479625e+15	2.9334917653e+15	2.3830835919e+15	2.9572636226e-23	2.0106431018e-24
2.9334917653e+15	4.4450440319e+15	3.6110247941e+15	3.2251613839e-24	4.9735952176e-25
4.4450440319e+15	6.7354600000e+15	5.4716922679e+15	3.2745143696e-25	1.3057123704e-25
